Age,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.069304,0.067894,0.06520000000000001,0.061076,0.055824,0.054186000000000005,0.051577,0.05007,0.050986000000000004,0.049061999999999995,0.053872,0.054582,0.057279,0.054153999999999994,0.05718
20.0,0.283448,0.27768400000000004,0.266662,0.249798,0.228318,0.21849200000000002,0.206802,0.198921,0.193268,0.186342,0.18463,0.16474900000000003,0.14873,0.12383,0.11496799999999999
25.0,0.37530800000000003,0.367676,0.353084,0.33075199999999993,0.302311,0.278577,0.253359,0.237129,0.22182400000000002,0.21878999999999998,0.20128000000000001,0.173838,0.147724,0.11781299999999999,0.10409299999999999
30.0,0.333163,0.326387,0.31343400000000005,0.29361000000000004,0.268363,0.245039,0.220581,0.201003,0.181597,0.161928,0.14948,0.137458,0.12763,0.10964,0.105005
35.0,0.263562,0.258202,0.247954,0.232273,0.21230000000000002,0.186702,0.160933,0.142242,0.121341,0.114504,0.10108400000000001,0.084902,0.08441799999999999,0.07167699999999999,0.070476
40.0,0.124361,0.12183200000000001,0.11699700000000002,0.10959700000000001,0.10017299999999998,0.086304,0.072642,0.061659,0.050573,0.042744,0.04425199999999999,0.038405999999999996,0.037186,0.031574000000000005,0.030617
45.0,0.034874,0.034165,0.032809,0.030734,0.028090999999999998,0.02316,0.018406,0.014395999999999999,0.008111,0.00663,0.0054020000000000006,0.006065,0.007032999999999999,0.007312,0.008481
50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
